hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
"[32, 16]",sigmoid,250,0.1,32,1.0,0.95
"[32, 16]",sigmoid,250,0.1,64,0.99875,0.96
"[32, 16]",sigmoid,250,0.1,128,1.0,0.93
"[32, 16]",sigmoid,250,0.1,256,1.0,0.96
"[32, 16]",sigmoid,250,0.1,512,1.0,0.97
"[32, 16]",sigmoid,250,0.01,16,1.0,0.955
"[32, 16]",sigmoid,250,0.01,32,1.0,0.945
"[32, 16]",sigmoid,250,0.01,64,1.0,0.945
"[32, 16]",sigmoid,250,0.01,128,0.9975,0.955
"[32, 16]",sigmoid,250,0.01,256,0.99,0.95
"[32, 16]",sigmoid,250,0.01,512,0.98,0.965
"[32, 16]",sigmoid,250,0.001,16,0.9725,0.95
"[32, 16]",sigmoid,250,0.001,32,0.95,0.965
"[32, 16]",sigmoid,250,0.001,64,0.9125,0.935
"[32, 16]",sigmoid,250,0.001,128,0.8875,0.9
"[32, 16]",sigmoid,250,0.001,256,0.855,0.845
"[32, 16]",sigmoid,250,0.001,512,0.85125,0.84
"[32, 16]",sigmoid,250,0.0001,16,0.8375,0.84
"[32, 16]",sigmoid,250,0.0001,32,0.8425,0.84
"[32, 16]",sigmoid,250,0.0001,64,0.8325,0.83
"[32, 16]",sigmoid,250,0.0001,128,0.80625,0.795
"[32, 16]",sigmoid,250,0.0001,256,0.7025,0.69
"[32, 16]",sigmoid,250,0.0001,512,0.61625,0.585
"[32, 16]",tanh,1,10.0,16,0.60625,0.65
"[32, 16]",tanh,1,10.0,32,0.48875,0.53
"[32, 16]",tanh,1,10.0,64,0.56375,0.52
"[32, 16]",tanh,1,10.0,128,0.6225,0.585
"[32, 16]",tanh,1,10.0,256,0.65625,0.66
"[32, 16]",tanh,1,10.0,512,0.72125,0.76
"[32, 16]",tanh,1,1.0,16,0.7425,0.76
"[32, 16]",tanh,1,1.0,32,0.65125,0.67
"[32, 16]",tanh,1,1.0,64,0.6,0.565
"[32, 16]",tanh,1,1.0,128,0.54,0.485
"[32, 16]",tanh,1,1.0,256,0.62875,0.69
"[32, 16]",tanh,1,1.0,512,0.5175,0.5
"[32, 16]",tanh,1,0.1,16,0.7875,0.785
"[32, 16]",tanh,1,0.1,32,0.83625,0.845
"[32, 16]",tanh,1,0.1,64,0.8175,0.785
"[32, 16]",tanh,1,0.1,128,0.81625,0.85
"[32, 16]",tanh,1,0.1,256,0.77125,0.785
"[32, 16]",tanh,1,0.1,512,0.785,0.825
"[32, 16]",tanh,1,0.01,16,0.83625,0.82
"[32, 16]",tanh,1,0.01,32,0.82,0.835
"[32, 16]",tanh,1,0.01,64,0.82375,0.84
"[32, 16]",tanh,1,0.01,128,0.80125,0.825
"[32, 16]",tanh,1,0.01,256,0.8125,0.815
"[32, 16]",tanh,1,0.01,512,0.78125,0.785
"[32, 16]",tanh,1,0.001,16,0.785,0.8
"[32, 16]",tanh,1,0.001,32,0.75125,0.755
"[32, 16]",tanh,1,0.001,64,0.39625,0.42
"[32, 16]",tanh,1,0.001,128,0.63625,0.655
"[32, 16]",tanh,1,0.001,256,0.51875,0.44
"[32, 16]",tanh,1,0.001,512,0.61125,0.57
"[32, 16]",tanh,1,0.0001,16,0.5225,0.55
"[32, 16]",tanh,1,0.0001,32,0.5325,0.475
"[32, 16]",tanh,1,0.0001,64,0.55625,0.61
"[32, 16]",tanh,1,0.0001,128,0.46625,0.445
"[32, 16]",tanh,1,0.0001,256,0.42,0.5
"[32, 16]",tanh,1,0.0001,512,0.55875,0.535
"[32, 16]",tanh,10,10.0,16,0.64,0.625
"[32, 16]",tanh,10,10.0,32,0.50875,0.57
"[32, 16]",tanh,10,10.0,64,0.5575,0.635
"[32, 16]",tanh,10,10.0,128,0.65125,0.685
"[32, 16]",tanh,10,10.0,256,0.5675,0.565
"[32, 16]",tanh,10,10.0,512,0.725,0.75
"[32, 16]",tanh,10,1.0,16,0.67125,0.69
"[32, 16]",tanh,10,1.0,32,0.65875,0.68
"[32, 16]",tanh,10,1.0,64,0.765,0.82
"[32, 16]",tanh,10,1.0,128,0.8225,0.84
"[32, 16]",tanh,10,1.0,256,0.75875,0.755
"[32, 16]",tanh,10,1.0,512,0.79625,0.795
"[32, 16]",tanh,10,0.1,16,0.8475,0.88
"[32, 16]",tanh,10,0.1,32,0.89625,0.875
"[32, 16]",tanh,10,0.1,64,0.945,0.915
"[32, 16]",tanh,10,0.1,128,0.95375,0.915
"[32, 16]",tanh,10,0.1,256,0.8975,0.89
"[32, 16]",tanh,10,0.1,512,0.885,0.88
"[32, 16]",tanh,10,0.01,16,0.9625,0.955
"[32, 16]",tanh,10,0.01,32,0.96125,0.95
"[32, 16]",tanh,10,0.01,64,0.94,0.915
"[32, 16]",tanh,10,0.01,128,0.90625,0.91
"[32, 16]",tanh,10,0.01,256,0.85875,0.86
"[32, 16]",tanh,10,0.01,512,0.86125,0.84
"[32, 16]",tanh,10,0.001,16,0.8525,0.845
"[32, 16]",tanh,10,0.001,32,0.83875,0.84
"[32, 16]",tanh,10,0.001,64,0.8425,0.85
"[32, 16]",tanh,10,0.001,128,0.815,0.81
"[32, 16]",tanh,10,0.001,256,0.8325,0.835
"[32, 16]",tanh,10,0.001,512,0.73,0.735
"[32, 16]",tanh,10,0.0001,16,0.765,0.805
"[32, 16]",tanh,10,0.0001,32,0.715,0.75
"[32, 16]",tanh,10,0.0001,64,0.72,0.74
"[32, 16]",tanh,10,0.0001,128,0.6925,0.725
"[32, 16]",tanh,10,0.0001,256,0.62625,0.68
"[32, 16]",tanh,10,0.0001,512,0.52375,0.445
"[32, 16]",tanh,25,10.0,16,0.54375,0.575
"[32, 16]",tanh,25,10.0,32,0.6725,0.705
"[32, 16]",tanh,25,10.0,64,0.55,0.645
"[32, 16]",tanh,25,10.0,128,0.70375,0.71
"[32, 16]",tanh,25,10.0,256,0.66375,0.67
"[32, 16]",tanh,25,10.0,512,0.49875,0.49
"[32, 16]",tanh,25,1.0,16,0.7,0.68
"[32, 16]",tanh,25,1.0,32,0.74125,0.745
"[32, 16]",tanh,25,1.0,64,0.76125,0.765
"[32, 16]",tanh,25,1.0,128,0.6875,0.755
"[32, 16]",tanh,25,1.0,256,0.85625,0.84
"[32, 16]",tanh,25,1.0,512,0.88625,0.825
"[32, 16]",tanh,25,0.1,16,0.92625,0.88
"[32, 16]",tanh,25,0.1,32,0.91625,0.905
"[32, 16]",tanh,25,0.1,64,0.96625,0.935
"[32, 16]",tanh,25,0.1,128,0.94125,0.92
"[32, 16]",tanh,25,0.1,256,0.93875,0.915
"[32, 16]",tanh,25,0.1,512,0.96875,0.935
"[32, 16]",tanh,25,0.01,16,0.97375,0.935
"[32, 16]",tanh,25,0.01,32,0.98,0.94
"[32, 16]",tanh,25,0.01,64,0.9775,0.955
"[32, 16]",tanh,25,0.01,128,0.96,0.95
"[32, 16]",tanh,25,0.01,256,0.94125,0.955
"[32, 16]",tanh,25,0.01,512,0.905,0.93
"[32, 16]",tanh,25,0.001,16,0.91375,0.915
"[32, 16]",tanh,25,0.001,32,0.8875,0.9
"[32, 16]",tanh,25,0.001,64,0.87,0.875
"[32, 16]",tanh,25,0.001,128,0.84,0.84
"[32, 16]",tanh,25,0.001,256,0.83125,0.835
"[32, 16]",tanh,25,0.001,512,0.8225,0.83
"[32, 16]",tanh,25,0.0001,16,0.825,0.83
"[32, 16]",tanh,25,0.0001,32,0.80875,0.805
"[32, 16]",tanh,25,0.0001,64,0.75625,0.78
"[32, 16]",tanh,25,0.0001,128,0.69625,0.7
"[32, 16]",tanh,25,0.0001,256,0.6375,0.64
"[32, 16]",tanh,25,0.0001,512,0.51375,0.425
"[32, 16]",tanh,50,10.0,16,0.53,0.515
"[32, 16]",tanh,50,10.0,32,0.51,0.57
"[32, 16]",tanh,50,10.0,64,0.6375,0.61
"[32, 16]",tanh,50,10.0,128,0.6325,0.6
"[32, 16]",tanh,50,10.0,256,0.73375,0.785
"[32, 16]",tanh,50,10.0,512,0.7625,0.765
"[32, 16]",tanh,50,1.0,16,0.68375,0.735
"[32, 16]",tanh,50,1.0,32,0.80125,0.835
"[32, 16]",tanh,50,1.0,64,0.775,0.79
"[32, 16]",tanh,50,1.0,128,0.83,0.855
"[32, 16]",tanh,50,1.0,256,0.89,0.85
"[32, 16]",tanh,50,1.0,512,0.89625,0.835
"[32, 16]",tanh,50,0.1,16,0.895,0.925
"[32, 16]",tanh,50,0.1,32,0.9325,0.9
"[32, 16]",tanh,50,0.1,64,0.93875,0.915
"[32, 16]",tanh,50,0.1,128,0.9375,0.905
"[32, 16]",tanh,50,0.1,256,0.98375,0.915
"[32, 16]",tanh,50,0.1,512,0.9925,0.95
"[32, 16]",tanh,50,0.01,16,0.99875,0.95
"[32, 16]",tanh,50,0.01,32,0.99875,0.935
"[32, 16]",tanh,50,0.01,64,0.9975,0.945
"[32, 16]",tanh,50,0.01,128,0.98875,0.955
"[32, 16]",tanh,50,0.01,256,0.96125,0.925
"[32, 16]",tanh,50,0.01,512,0.96875,0.96
"[32, 16]",tanh,50,0.001,16,0.96,0.96
"[32, 16]",tanh,50,0.001,32,0.9425,0.93
"[32, 16]",tanh,50,0.001,64,0.9175,0.93
"[32, 16]",tanh,50,0.001,128,0.87625,0.89
"[32, 16]",tanh,50,0.001,256,0.8425,0.845
"[32, 16]",tanh,50,0.001,512,0.83625,0.84
"[32, 16]",tanh,50,0.0001,16,0.8375,0.84
"[32, 16]",tanh,50,0.0001,32,0.83125,0.815
"[32, 16]",tanh,50,0.0001,64,0.82375,0.815
"[32, 16]",tanh,50,0.0001,128,0.81375,0.805
"[32, 16]",tanh,50,0.0001,256,0.755,0.81
"[32, 16]",tanh,50,0.0001,512,0.6325,0.585
"[32, 16]",tanh,100,10.0,16,0.47375,0.55
"[32, 16]",tanh,100,10.0,32,0.60125,0.57
"[32, 16]",tanh,100,10.0,64,0.69,0.685
"[32, 16]",tanh,100,10.0,128,0.595,0.6
"[32, 16]",tanh,100,10.0,256,0.68125,0.725
"[32, 16]",tanh,100,10.0,512,0.7325,0.75
"[32, 16]",tanh,100,1.0,16,0.65,0.645
"[32, 16]",tanh,100,1.0,32,0.73,0.705
"[32, 16]",tanh,100,1.0,64,0.6925,0.71
"[32, 16]",tanh,100,1.0,128,0.8425,0.845
"[32, 16]",tanh,100,1.0,256,0.74375,0.735
"[32, 16]",tanh,100,1.0,512,0.9025,0.88
"[32, 16]",tanh,100,0.1,16,0.9275,0.915
"[32, 16]",tanh,100,0.1,32,0.93875,0.93
"[32, 16]",tanh,100,0.1,64,0.96375,0.925
"[32, 16]",tanh,100,0.1,128,0.96875,0.94
"[32, 16]",tanh,100,0.1,256,0.99875,0.92
"[32, 16]",tanh,100,0.1,512,1.0,0.94
"[32, 16]",tanh,100,0.01,16,1.0,0.95
"[32, 16]",tanh,100,0.01,32,1.0,0.96
"[32, 16]",tanh,100,0.01,64,1.0,0.94
"[32, 16]",tanh,100,0.01,128,1.0,0.94
"[32, 16]",tanh,100,0.01,256,0.98875,0.935
"[32, 16]",tanh,100,0.01,512,0.99125,0.945
"[32, 16]",tanh,100,0.001,16,0.98,0.95
"[32, 16]",tanh,100,0.001,32,0.96875,0.955
"[32, 16]",tanh,100,0.001,64,0.97375,0.96
"[32, 16]",tanh,100,0.001,128,0.93375,0.95
"[32, 16]",tanh,100,0.001,256,0.88125,0.905
"[32, 16]",tanh,100,0.001,512,0.85625,0.845
"[32, 16]",tanh,100,0.0001,16,0.855,0.845
"[32, 16]",tanh,100,0.0001,32,0.8525,0.84
"[32, 16]",tanh,100,0.0001,64,0.83375,0.83
"[32, 16]",tanh,100,0.0001,128,0.8275,0.82
"[32, 16]",tanh,100,0.0001,256,0.80375,0.8
"[32, 16]",tanh,100,0.0001,512,0.74625,0.78
"[32, 16]",tanh,250,10.0,16,0.4275,0.505
"[32, 16]",tanh,250,10.0,32,0.60875,0.6
"[32, 16]",tanh,250,10.0,64,0.66,0.655
"[32, 16]",tanh,250,10.0,128,0.57,0.58
"[32, 16]",tanh,250,10.0,256,0.6775,0.765
"[32, 16]",tanh,250,10.0,512,0.74125,0.69
"[32, 16]",tanh,250,1.0,16,0.77375,0.815
"[32, 16]",tanh,250,1.0,32,0.65375,0.675
"[32, 16]",tanh,250,1.0,64,0.71875,0.725
"[32, 16]",tanh,250,1.0,128,0.81375,0.83
"[32, 16]",tanh,250,1.0,256,0.805,0.785
"[32, 16]",tanh,250,1.0,512,0.905,0.88
"[32, 16]",tanh,250,0.1,16,0.9175,0.875
"[32, 16]",tanh,250,0.1,32,0.9475,0.915
"[32, 16]",tanh,250,0.1,64,0.98375,0.925
"[32, 16]",tanh,250,0.1,128,0.99625,0.915
"[32, 16]",tanh,250,0.1,256,1.0,0.895
"[32, 16]",tanh,250,0.1,512,1.0,0.91
"[32, 16]",tanh,250,0.01,16,1.0,0.97
"[32, 16]",tanh,250,0.01,32,1.0,0.94
"[32, 16]",tanh,250,0.01,64,1.0,0.94
"[32, 16]",tanh,250,0.01,128,1.0,0.955
"[32, 16]",tanh,250,0.01,256,1.0,0.945
"[32, 16]",tanh,250,0.01,512,1.0,0.945
"[32, 16]",tanh,250,0.001,16,1.0,0.955
"[32, 16]",tanh,250,0.001,32,0.9975,0.945
"[32, 16]",tanh,250,0.001,64,0.985,0.95
"[32, 16]",tanh,250,0.001,128,0.9775,0.95
"[32, 16]",tanh,250,0.001,256,0.96375,0.965
"[32, 16]",tanh,250,0.001,512,0.94375,0.95
"[32, 16]",tanh,250,0.0001,16,0.91625,0.93
"[32, 16]",tanh,250,0.0001,32,0.88625,0.895
"[32, 16]",tanh,250,0.0001,64,0.85875,0.855
"[32, 16]",tanh,250,0.0001,128,0.84375,0.83
"[32, 16]",tanh,250,0.0001,256,0.82625,0.835
"[32, 16]",tanh,250,0.0001,512,0.84,0.84
"[32, 16, 8]",relu,1,10.0,16,0.4825,0.555
"[32, 16, 8]",relu,1,10.0,32,0.47875,0.56
"[32, 16, 8]",relu,1,10.0,64,0.48125,0.56
"[32, 16, 8]",relu,1,10.0,128,0.48125,0.565
"[32, 16, 8]",relu,1,10.0,256,0.6475,0.665
"[32, 16, 8]",relu,1,10.0,512,0.51875,0.44
"[32, 16, 8]",relu,1,1.0,16,0.525,0.445
"[32, 16, 8]",relu,1,1.0,32,0.48125,0.56
"[32, 16, 8]",relu,1,1.0,64,0.51875,0.44
"[32, 16, 8]",relu,1,1.0,128,0.61,0.595
"[32, 16, 8]",relu,1,1.0,256,0.445,0.48
"[32, 16, 8]",relu,1,1.0,512,0.51875,0.44
"[32, 16, 8]",relu,1,0.1,16,0.63125,0.62
"[32, 16, 8]",relu,1,0.1,32,0.87875,0.87
"[32, 16, 8]",relu,1,0.1,64,0.80125,0.845
"[32, 16, 8]",relu,1,0.1,128,0.865,0.895
"[32, 16, 8]",relu,1,0.1,256,0.84875,0.87
"[32, 16, 8]",relu,1,0.1,512,0.665,0.675
"[32, 16, 8]",relu,1,0.01,16,0.895,0.91
"[32, 16, 8]",relu,1,0.01,32,0.845,0.855
"[32, 16, 8]",relu,1,0.01,64,0.8375,0.835
"[32, 16, 8]",relu,1,0.01,128,0.78125,0.755
"[32, 16, 8]",relu,1,0.01,256,0.51875,0.44
"[32, 16, 8]",relu,1,0.01,512,0.51875,0.44
"[32, 16, 8]",relu,1,0.001,16,0.61625,0.665
"[32, 16, 8]",relu,1,0.001,32,0.51875,0.44
"[32, 16, 8]",relu,1,0.001,64,0.6325,0.695
"[32, 16, 8]",relu,1,0.001,128,0.52,0.44
"[32, 16, 8]",relu,1,0.001,256,0.6475,0.62
"[32, 16, 8]",relu,1,0.001,512,0.5175,0.445
"[32, 16, 8]",relu,1,0.0001,16,0.51875,0.44
"[32, 16, 8]",relu,1,0.0001,32,0.48125,0.56
"[32, 16, 8]",relu,1,0.0001,64,0.53125,0.6
"[32, 16, 8]",relu,1,0.0001,128,0.51875,0.44
"[32, 16, 8]",relu,1,0.0001,256,0.48125,0.56
"[32, 16, 8]",relu,1,0.0001,512,0.51875,0.44
"[32, 16, 8]",relu,10,10.0,16,0.48125,0.56
"[32, 16, 8]",relu,10,10.0,32,0.48125,0.56
"[32, 16, 8]",relu,10,10.0,64,0.48125,0.56
"[32, 16, 8]",relu,10,10.0,128,0.4825,0.56
"[32, 16, 8]",relu,10,10.0,256,0.52,0.44
"[32, 16, 8]",relu,10,10.0,512,0.55375,0.48
"[32, 16, 8]",relu,10,1.0,16,0.48125,0.56
"[32, 16, 8]",relu,10,1.0,32,0.51875,0.44
"[32, 16, 8]",relu,10,1.0,64,0.51875,0.44
"[32, 16, 8]",relu,10,1.0,128,0.51875,0.44
"[32, 16, 8]",relu,10,1.0,256,0.48125,0.56
"[32, 16, 8]",relu,10,1.0,512,0.51875,0.44
"[32, 16, 8]",relu,10,0.1,16,0.73375,0.785
"[32, 16, 8]",relu,10,0.1,32,0.945,0.94
"[32, 16, 8]",relu,10,0.1,64,0.9675,0.945
"[32, 16, 8]",relu,10,0.1,128,0.92,0.915
"[32, 16, 8]",relu,10,0.1,256,0.9325,0.945
"[32, 16, 8]",relu,10,0.1,512,0.9225,0.94
"[32, 16, 8]",relu,10,0.01,16,0.945,0.95
"[32, 16, 8]",relu,10,0.01,32,0.96125,0.965
"[32, 16, 8]",relu,10,0.01,64,0.94875,0.97
"[32, 16, 8]",relu,10,0.01,128,0.915,0.915
"[32, 16, 8]",relu,10,0.01,256,0.89625,0.9
"[32, 16, 8]",relu,10,0.01,512,0.89,0.905
"[32, 16, 8]",relu,10,0.001,16,0.94375,0.94
"[32, 16, 8]",relu,10,0.001,32,0.88875,0.9
"[32, 16, 8]",relu,10,0.001,64,0.88125,0.885
"[32, 16, 8]",relu,10,0.001,128,0.85625,0.85
"[32, 16, 8]",relu,10,0.001,256,0.8025,0.815
"[32, 16, 8]",relu,10,0.001,512,0.51875,0.44
"[32, 16, 8]",relu,10,0.0001,16,0.51875,0.44
"[32, 16, 8]",relu,10,0.0001,32,0.51875,0.44
"[32, 16, 8]",relu,10,0.0001,64,0.54375,0.615
"[32, 16, 8]",relu,10,0.0001,128,0.525,0.575
"[32, 16, 8]",relu,10,0.0001,256,0.51875,0.44
"[32, 16, 8]",relu,10,0.0001,512,0.48,0.56
"[32, 16, 8]",relu,25,10.0,16,0.51875,0.44
"[32, 16, 8]",relu,25,10.0,32,0.51875,0.44
"[32, 16, 8]",relu,25,10.0,64,0.48125,0.56
"[32, 16, 8]",relu,25,10.0,128,0.51875,0.44
"[32, 16, 8]",relu,25,10.0,256,0.48125,0.56
"[32, 16, 8]",relu,25,10.0,512,0.48125,0.56
"[32, 16, 8]",relu,25,1.0,16,0.48125,0.56
"[32, 16, 8]",relu,25,1.0,32,0.4825,0.56
"[32, 16, 8]",relu,25,1.0,64,0.51875,0.44
"[32, 16, 8]",relu,25,1.0,128,0.48125,0.56
"[32, 16, 8]",relu,25,1.0,256,0.51875,0.44
"[32, 16, 8]",relu,25,1.0,512,0.51875,0.44
"[32, 16, 8]",relu,25,0.1,16,0.51875,0.44
"[32, 16, 8]",relu,25,0.1,32,0.92125,0.9
"[32, 16, 8]",relu,25,0.1,64,0.935,0.925
"[32, 16, 8]",relu,25,0.1,128,0.95375,0.935
"[32, 16, 8]",relu,25,0.1,256,0.96125,0.98
"[32, 16, 8]",relu,25,0.1,512,0.96125,0.945
"[32, 16, 8]",relu,25,0.01,16,0.97125,0.93
"[32, 16, 8]",relu,25,0.01,32,0.99,0.97
"[32, 16, 8]",relu,25,0.01,64,0.985,0.965
"[32, 16, 8]",relu,25,0.01,128,0.97,0.96
"[32, 16, 8]",relu,25,0.01,256,0.94875,0.95
"[32, 16, 8]",relu,25,0.01,512,0.945,0.935
"[32, 16, 8]",relu,25,0.001,16,0.96125,0.945
"[32, 16, 8]",relu,25,0.001,32,0.9475,0.94
"[32, 16, 8]",relu,25,0.001,64,0.94125,0.95
"[32, 16, 8]",relu,25,0.001,128,0.8825,0.9
"[32, 16, 8]",relu,25,0.001,256,0.8875,0.915
"[32, 16, 8]",relu,25,0.001,512,0.76625,0.755
"[32, 16, 8]",relu,25,0.0001,16,0.8775,0.875
"[32, 16, 8]",relu,25,0.0001,32,0.67125,0.645
"[32, 16, 8]",relu,25,0.0001,64,0.77,0.78
"[32, 16, 8]",relu,25,0.0001,128,0.81625,0.77
"[32, 16, 8]",relu,25,0.0001,256,0.51875,0.44
"[32, 16, 8]",relu,25,0.0001,512,0.52,0.44
"[32, 16, 8]",relu,50,10.0,16,0.51875,0.44
"[32, 16, 8]",relu,50,10.0,32,0.51875,0.44
"[32, 16, 8]",relu,50,10.0,64,0.51875,0.44
"[32, 16, 8]",relu,50,10.0,128,0.51875,0.44
"[32, 16, 8]",relu,50,10.0,256,0.49125,0.555
"[32, 16, 8]",relu,50,10.0,512,0.51875,0.44
"[32, 16, 8]",relu,50,1.0,16,0.51875,0.44
"[32, 16, 8]",relu,50,1.0,32,0.51875,0.44
"[32, 16, 8]",relu,50,1.0,64,0.48125,0.56
"[32, 16, 8]",relu,50,1.0,128,0.51875,0.44
"[32, 16, 8]",relu,50,1.0,256,0.51875,0.44
"[32, 16, 8]",relu,50,1.0,512,0.51875,0.44
"[32, 16, 8]",relu,50,0.1,16,0.48125,0.56
"[32, 16, 8]",relu,50,0.1,32,0.94625,0.935
"[32, 16, 8]",relu,50,0.1,64,0.91625,0.89
"[32, 16, 8]",relu,50,0.1,128,0.94125,0.965
"[32, 16, 8]",relu,50,0.1,256,0.97875,0.955
"[32, 16, 8]",relu,50,0.1,512,0.9825,0.96
"[32, 16, 8]",relu,50,0.01,16,0.9825,0.935
"[32, 16, 8]",relu,50,0.01,32,0.9975,0.985
"[32, 16, 8]",relu,50,0.01,64,0.9975,0.94
"[32, 16, 8]",relu,50,0.01,128,0.995,0.955
"[32, 16, 8]",relu,50,0.01,256,0.96875,0.96
"[32, 16, 8]",relu,50,0.01,512,0.98125,0.96
"[32, 16, 8]",relu,50,0.001,16,0.9675,0.965
"[32, 16, 8]",relu,50,0.001,32,0.9725,0.955
"[32, 16, 8]",relu,50,0.001,64,0.9625,0.955
"[32, 16, 8]",relu,50,0.001,128,0.94125,0.945
"[32, 16, 8]",relu,50,0.001,256,0.90625,0.915
"[32, 16, 8]",relu,50,0.001,512,0.87,0.9
"[32, 16, 8]",relu,50,0.0001,16,0.89875,0.915
"[32, 16, 8]",relu,50,0.0001,32,0.88125,0.885
"[32, 16, 8]",relu,50,0.0001,64,0.85375,0.88
"[32, 16, 8]",relu,50,0.0001,128,0.5825,0.53
"[32, 16, 8]",relu,50,0.0001,256,0.51875,0.44
"[32, 16, 8]",relu,50,0.0001,512,0.52375,0.46
"[32, 16, 8]",relu,100,10.0,16,0.48125,0.56
"[32, 16, 8]",relu,100,10.0,32,0.51875,0.44
"[32, 16, 8]",relu,100,10.0,64,0.48125,0.56
"[32, 16, 8]",relu,100,10.0,128,0.51875,0.44
"[32, 16, 8]",relu,100,10.0,256,0.51875,0.44
"[32, 16, 8]",relu,100,10.0,512,0.51875,0.44
"[32, 16, 8]",relu,100,1.0,16,0.51875,0.44
"[32, 16, 8]",relu,100,1.0,32,0.51875,0.44
"[32, 16, 8]",relu,100,1.0,64,0.51875,0.44
"[32, 16, 8]",relu,100,1.0,128,0.51875,0.44
"[32, 16, 8]",relu,100,1.0,256,0.535,0.46
"[32, 16, 8]",relu,100,1.0,512,0.51875,0.44
"[32, 16, 8]",relu,100,0.1,16,0.51875,0.44
"[32, 16, 8]",relu,100,0.1,32,0.51875,0.44
"[32, 16, 8]",relu,100,0.1,64,0.94625,0.955
"[32, 16, 8]",relu,100,0.1,128,0.9675,0.94
"[32, 16, 8]",relu,100,0.1,256,0.895,0.9
"[32, 16, 8]",relu,100,0.1,512,0.97625,0.93
"[32, 16, 8]",relu,100,0.01,16,0.99,0.93
"[32, 16, 8]",relu,100,0.01,32,0.995,0.965
"[32, 16, 8]",relu,100,0.01,64,1.0,0.93
"[32, 16, 8]",relu,100,0.01,128,1.0,0.95
"[32, 16, 8]",relu,100,0.01,256,1.0,0.945
"[32, 16, 8]",relu,100,0.01,512,0.9975,0.945
"[32, 16, 8]",relu,100,0.001,16,1.0,0.96
"[32, 16, 8]",relu,100,0.001,32,0.9925,0.935
"[32, 16, 8]",relu,100,0.001,64,0.98375,0.98
"[32, 16, 8]",relu,100,0.001,128,0.9775,0.96
"[32, 16, 8]",relu,100,0.001,256,0.9475,0.955
"[32, 16, 8]",relu,100,0.001,512,0.92125,0.93
"[32, 16, 8]",relu,100,0.0001,16,0.9275,0.935
"[32, 16, 8]",relu,100,0.0001,32,0.90125,0.925
"[32, 16, 8]",relu,100,0.0001,64,0.90125,0.91
"[32, 16, 8]",relu,100,0.0001,128,0.86375,0.89
"[32, 16, 8]",relu,100,0.0001,256,0.705,0.73
"[32, 16, 8]",relu,100,0.0001,512,0.54,0.465
"[32, 16, 8]",relu,250,10.0,16,0.48125,0.56
"[32, 16, 8]",relu,250,10.0,32,0.51875,0.44
"[32, 16, 8]",relu,250,10.0,64,0.51875,0.44
"[32, 16, 8]",relu,250,10.0,128,0.48125,0.56
"[32, 16, 8]",relu,250,10.0,256,0.51875,0.44
"[32, 16, 8]",relu,250,10.0,512,0.51875,0.44
"[32, 16, 8]",relu,250,1.0,16,0.51875,0.44
"[32, 16, 8]",relu,250,1.0,32,0.51875,0.44
"[32, 16, 8]",relu,250,1.0,64,0.51875,0.44
"[32, 16, 8]",relu,250,1.0,128,0.48125,0.56
"[32, 16, 8]",relu,250,1.0,256,0.51875,0.44
"[32, 16, 8]",relu,250,1.0,512,0.48125,0.56
"[32, 16, 8]",relu,250,0.1,16,0.84375,0.865
"[32, 16, 8]",relu,250,0.1,32,0.8325,0.86
"[32, 16, 8]",relu,250,0.1,64,0.52,0.44
"[32, 16, 8]",relu,250,0.1,128,0.88625,0.9
"[32, 16, 8]",relu,250,0.1,256,0.93375,0.88
"[32, 16, 8]",relu,250,0.1,512,0.9925,0.91
"[32, 16, 8]",relu,250,0.01,16,0.9975,0.96
"[32, 16, 8]",relu,250,0.01,32,1.0,0.965
"[32, 16, 8]",relu,250,0.01,64,1.0,0.94
"[32, 16, 8]",relu,250,0.01,128,1.0,0.93
"[32, 16, 8]",relu,250,0.01,256,1.0,0.96
"[32, 16, 8]",relu,250,0.01,512,1.0,0.95
"[32, 16, 8]",relu,250,0.001,16,1.0,0.955
"[32, 16, 8]",relu,250,0.001,32,1.0,0.955
"[32, 16, 8]",relu,250,0.001,64,1.0,0.955
"[32, 16, 8]",relu,250,0.001,128,0.9975,0.94
"[32, 16, 8]",relu,250,0.001,256,0.985,0.95
"[32, 16, 8]",relu,250,0.001,512,0.98375,0.96
"[32, 16, 8]",relu,250,0.0001,16,0.9425,0.935
"[32, 16, 8]",relu,250,0.0001,32,0.95125,0.935
"[32, 16, 8]",relu,250,0.0001,64,0.93375,0.935
"[32, 16, 8]",relu,250,0.0001,128,0.9175,0.925
"[32, 16, 8]",relu,250,0.0001,256,0.8825,0.905
"[32, 16, 8]",relu,250,0.0001,512,0.84875,0.835
"[32, 16, 8]",sigmoid,1,10.0,16,0.51875,0.44
"[32, 16, 8]",sigmoid,1,10.0,32,0.48125,0.56
"[32, 16, 8]",sigmoid,1,10.0,64,0.48125,0.56
"[32, 16, 8]",sigmoid,1,10.0,128,0.51875,0.44
"[32, 16, 8]",sigmoid,1,10.0,256,0.48125,0.56
"[32, 16, 8]",sigmoid,1,10.0,512,0.51875,0.44
"[32, 16, 8]",sigmoid,1,1.0,16,0.48125,0.56
"[32, 16, 8]",sigmoid,1,1.0,32,0.48125,0.56
"[32, 16, 8]",sigmoid,1,1.0,64,0.51875,0.44
