hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],sigmoid,1,1.0,16,0.825,0.85
[32],sigmoid,1,1.0,32,0.79,0.765
[32],sigmoid,1,1.0,64,0.79125,0.805
[32],sigmoid,1,1.0,128,0.81125,0.8
[32],sigmoid,1,1.0,256,0.48125,0.56
[32],sigmoid,1,1.0,512,0.5775,0.515
[32],sigmoid,1,0.1,16,0.875,0.875
[32],sigmoid,1,0.1,32,0.84,0.85
[32],sigmoid,1,0.1,64,0.82,0.805
[32],sigmoid,1,0.1,128,0.805,0.815
[32],sigmoid,1,0.1,256,0.48125,0.56
[32],sigmoid,1,0.1,512,0.51,0.58
[32],sigmoid,1,0.01,16,0.82125,0.825
[32],sigmoid,1,0.01,32,0.78375,0.82
[32],sigmoid,1,0.01,64,0.76,0.74
[32],sigmoid,1,0.01,128,0.63,0.64
[32],sigmoid,1,0.01,256,0.4875,0.565
[32],sigmoid,1,0.01,512,0.51875,0.44
[32],sigmoid,1,0.001,16,0.7,0.71
[32],sigmoid,1,0.001,32,0.69125,0.69
[32],sigmoid,1,0.001,64,0.5025,0.475
[32],sigmoid,1,0.001,128,0.50625,0.475
[32],sigmoid,1,0.001,256,0.51875,0.44
[32],sigmoid,1,0.001,512,0.495,0.425
[32],sigmoid,1,0.0001,16,0.55,0.455
[32],sigmoid,1,0.0001,32,0.51875,0.44
[32],sigmoid,1,0.0001,64,0.48125,0.56
[32],sigmoid,1,0.0001,128,0.48375,0.435
[32],sigmoid,1,0.0001,256,0.51875,0.44
[32],sigmoid,1,0.0001,512,0.48125,0.56
[32],sigmoid,10,10.0,16,0.81625,0.81
[32],sigmoid,10,10.0,32,0.79625,0.83
[32],sigmoid,10,10.0,64,0.75125,0.805
[32],sigmoid,10,10.0,128,0.7725,0.79
[32],sigmoid,10,10.0,256,0.76875,0.785
[32],sigmoid,10,10.0,512,0.8475,0.84
[32],sigmoid,10,1.0,16,0.7875,0.81
[32],sigmoid,10,1.0,32,0.86875,0.885
[32],sigmoid,10,1.0,64,0.93125,0.92
[32],sigmoid,10,1.0,128,0.94,0.915
[32],sigmoid,10,1.0,256,0.855,0.87
[32],sigmoid,10,1.0,512,0.855,0.875
[32],sigmoid,10,0.1,16,0.96375,0.955
[32],sigmoid,10,0.1,32,0.96875,0.96
[32],sigmoid,10,0.1,64,0.95,0.945
[32],sigmoid,10,0.1,128,0.9125,0.925
[32],sigmoid,10,0.1,256,0.83875,0.83
[32],sigmoid,10,0.1,512,0.8225,0.805
[32],sigmoid,10,0.01,16,0.87375,0.89
[32],sigmoid,10,0.01,32,0.86125,0.86
[32],sigmoid,10,0.01,64,0.835,0.84
[32],sigmoid,10,0.01,128,0.82,0.83
[32],sigmoid,10,0.01,256,0.8075,0.81
[32],sigmoid,10,0.01,512,0.8225,0.8
[32],sigmoid,10,0.001,16,0.83125,0.825
[32],sigmoid,10,0.001,32,0.81125,0.815
[32],sigmoid,10,0.001,64,0.78125,0.79
[32],sigmoid,10,0.001,128,0.73125,0.71
[32],sigmoid,10,0.001,256,0.6675,0.69
[32],sigmoid,10,0.001,512,0.68875,0.675
[32],sigmoid,10,0.0001,16,0.6975,0.735
[32],sigmoid,10,0.0001,32,0.68,0.66
[32],sigmoid,10,0.0001,64,0.53875,0.485
[32],sigmoid,10,0.0001,128,0.51875,0.44
[32],sigmoid,10,0.0001,256,0.48125,0.56
[32],sigmoid,10,0.0001,512,0.49375,0.455
[32],sigmoid,25,10.0,16,0.81,0.8
[32],sigmoid,25,10.0,32,0.74125,0.81
[32],sigmoid,25,10.0,64,0.80125,0.84
[32],sigmoid,25,10.0,128,0.795,0.825
[32],sigmoid,25,10.0,256,0.84125,0.805
[32],sigmoid,25,10.0,512,0.865,0.88
[32],sigmoid,25,1.0,16,0.88875,0.88
[32],sigmoid,25,1.0,32,0.88375,0.9
[32],sigmoid,25,1.0,64,0.9275,0.925
[32],sigmoid,25,1.0,128,0.94,0.925
[32],sigmoid,25,1.0,256,0.95625,0.91
[32],sigmoid,25,1.0,512,0.955,0.925
[32],sigmoid,25,0.1,16,0.975,0.955
[32],sigmoid,25,0.1,32,0.995,0.955
[32],sigmoid,25,0.1,64,0.9775,0.935
[32],sigmoid,25,0.1,128,0.96375,0.96
[32],sigmoid,25,0.1,256,0.92375,0.925
[32],sigmoid,25,0.1,512,0.88125,0.89
[32],sigmoid,25,0.01,16,0.9575,0.96
[32],sigmoid,25,0.01,32,0.91875,0.94
[32],sigmoid,25,0.01,64,0.895,0.915
[32],sigmoid,25,0.01,128,0.86625,0.86
[32],sigmoid,25,0.01,256,0.83875,0.845
[32],sigmoid,25,0.01,512,0.82375,0.845
[32],sigmoid,25,0.001,16,0.83,0.835
[32],sigmoid,25,0.001,32,0.82875,0.835
[32],sigmoid,25,0.001,64,0.8325,0.82
[32],sigmoid,25,0.001,128,0.825,0.815
[32],sigmoid,25,0.001,256,0.75625,0.76
[32],sigmoid,25,0.001,512,0.78625,0.815
[32],sigmoid,25,0.0001,16,0.79125,0.79
[32],sigmoid,25,0.0001,32,0.77875,0.765
[32],sigmoid,25,0.0001,64,0.77625,0.78
[32],sigmoid,25,0.0001,128,0.48125,0.56
[32],sigmoid,25,0.0001,256,0.51875,0.44
[32],sigmoid,25,0.0001,512,0.4825,0.565
[32],sigmoid,50,10.0,16,0.7325,0.81
[32],sigmoid,50,10.0,32,0.7775,0.805
[32],sigmoid,50,10.0,64,0.76,0.76
[32],sigmoid,50,10.0,128,0.78125,0.825
[32],sigmoid,50,10.0,256,0.8,0.81
[32],sigmoid,50,10.0,512,0.86125,0.835
[32],sigmoid,50,1.0,16,0.9,0.9
[32],sigmoid,50,1.0,32,0.8625,0.88
[32],sigmoid,50,1.0,64,0.93375,0.93
[32],sigmoid,50,1.0,128,0.94875,0.92
[32],sigmoid,50,1.0,256,0.90875,0.88
[32],sigmoid,50,1.0,512,0.98625,0.895
[32],sigmoid,50,0.1,16,1.0,0.95
[32],sigmoid,50,0.1,32,0.97,0.945
[32],sigmoid,50,0.1,64,0.9925,0.945
[32],sigmoid,50,0.1,128,0.98625,0.935
[32],sigmoid,50,0.1,256,0.9725,0.965
[32],sigmoid,50,0.1,512,0.96375,0.935
[32],sigmoid,50,0.01,16,0.975,0.95
[32],sigmoid,50,0.01,32,0.965,0.96
[32],sigmoid,50,0.01,64,0.9375,0.935
[32],sigmoid,50,0.01,128,0.915,0.92
[32],sigmoid,50,0.01,256,0.86,0.845
[32],sigmoid,50,0.01,512,0.86625,0.845
[32],sigmoid,50,0.001,16,0.85625,0.855
[32],sigmoid,50,0.001,32,0.8425,0.835
[32],sigmoid,50,0.001,64,0.82625,0.84
[32],sigmoid,50,0.001,128,0.8325,0.835
[32],sigmoid,50,0.001,256,0.82,0.825
[32],sigmoid,50,0.001,512,0.78,0.8
[32],sigmoid,50,0.0001,16,0.81625,0.8
[32],sigmoid,50,0.0001,32,0.79625,0.77
[32],sigmoid,50,0.0001,64,0.7225,0.72
[32],sigmoid,50,0.0001,128,0.79,0.795
[32],sigmoid,50,0.0001,256,0.5,0.5
[32],sigmoid,50,0.0001,512,0.505,0.485
[32],sigmoid,100,10.0,16,0.69625,0.695
[32],sigmoid,100,10.0,32,0.79375,0.83
[32],sigmoid,100,10.0,64,0.805,0.815
[32],sigmoid,100,10.0,128,0.8525,0.85
